Chloramphenicol	Steptomycin	Kanamycin	Sulfamethazine	Trimethopram	Type
33.78378378	17.56756757	22.97297297	31.08108108	10.81081081	Low N
26.49006623	14.56953642	77.48344371	13.90728477	5.298013245	Low N
64.36781609	47.12643678	51.72413793	11.49425287	16.09195402	Low N
13.88888889	26.85185185	25	5.555555556	3.703703704	Low N
29.33333333	30.66666667	22.66666667	20	13.33333333	Low N
87.25490196	6.862745098	34.31372549	65.68627451	46.07843137	High N
64.28571429	1.785714286	41.96428571	40.17857143	60.71428571	High N
76.03305785	14.87603306	5.785123967	23.14049587	46.28099174	High N
33.125	56.875	20.625	83.75	87.5	High N
39.39393939	36.36363636	7.575757576	78.78787879	34.84848485	High N
92.85714286	7.142857143	7.142857143	28.57142857	35.71428571	High N
72	4	0	76	48	High N
61.81818182	0	0	34.54545455	30.90909091	High N
59.64912281	0	0	19.29824561	33.33333333	High N
55.35714286	1.785714286	0	19.64285714	25	High N
0	16.66666667	16.66666667	33.33333333	66.66666667	Low N
0	0	0	0	0	Low N
16	2.666666667	8	26.66666667	32	Low N
0	0	0	42.85714286	28.57142857	Low N
7.692307692	7.692307692	7.692307692	61.53846154	53.84615385	Low N
16.90140845	8.450704225	78.87323944	5.633802817	18.30985915	Low N
1.030927835	27.83505155	24.74226804	9.278350515	15.46391753	Low N
12.06896552	30.17241379	87.93103448	4.310344828	18.96551724	Low N
2.127659574	27.65957447	65.95744681	19.14893617	8.510638298	Low N
1.111111111	15.55555556	20	1.111111111	5	Low N
60	4.615384615	10.76923077	69.23076923	30.76923077	High N
10.43478261	0	14.7826087	88.69565217	59.13043478	High N
11.11111111	0	8.73015873	26.19047619	47.61904762	High N
76	4	44	44	36	High N
12.5	22.05882353	8.823529412	88.23529412	41.17647059	High N
8.26446281	0	19.83471074	0.826446281	0	Low N
4.225352113	0.704225352	17.6056338	0.704225352	0	Low N
3.007518797	0	17.29323308	2.255639098	5.263157895	Low N
16.52892562	0	1.652892562	4.958677686	7.438016529	Low N
3.571428571	0.892857143	0.892857143	14.28571429	9.821428571	Low N
55.35714286	16.07142857	5.357142857	39.28571429	21.42857143	High N
32.43243243	0	32.43243243	45.94594595	28.37837838	High N
83.33333333	27.77777778	19.44444444	50	30.55555556	High N
32.20338983	0	22.03389831	25.42372881	27.11864407	High N
40.74074074	46.2962963	18.51851852	55.55555556	20.37037037	High N
