SampleID	Beta_disp	Type
P7F4	0.404994045	Reference
P3F5	0.407479431	Reference
P3F3	0.412796683	Reference
P1F5	0.413169495	Reference
P7F3	0.422462853	Reference
P9F4	0.434818579	Reference
P1F3	0.438207776	Reference
P1F1	0.44088354	Reference
P1F2	0.441834874	Reference
P9F1	0.444474649	Reference
P1F4	0.450699856	Reference
P9F5	0.451480209	Reference
P3F4	0.452929628	Reference
P5F4	0.45323343	Reference
P6F3	0.459381285	Reference
P3F1	0.464563056	Reference
P7F1	0.477479422	Reference
P9F2	0.486812689	Reference
P10F4	0.490458183	Reference
P9F3	0.496702595	Reference
P4F2	0.498462075	Reference
P7F5	0.501204718	Reference
P4F3	0.50210957	Reference
P8F2	0.502168397	Enriched
P7F2	0.510724112	Enriched
P10F2	0.511595053	Enriched
P8F4	0.519519409	Enriched
P5F1	0.525224535	Enriched
P5F5	0.52534458	Enriched
P4F4	0.525647318	Enriched
P6F1	0.537712492	Enriched
P8F3	0.545493951	Enriched
P6F2	0.549372706	Enriched
P5F3	0.555249524	Enriched
P5F2	0.575490161	Enriched
P2F3	0.584084099	Enriched
P8F1	0.599708595	Enriched
P4F5	0.611240144	Enriched
P3F2	0.671159824	Enriched
P6F4	0.673647388	Enriched
P4F1	0.843156579	Enriched
P10F3	0.843318158	Enriched
