Carbon	P2	P8	P7	P5	P9	P1	P3	P6	P4	P10
Water	0.318	0.471	0.913	1.135	0.471	1.17	0.313	0.521	0.549	0.54351
Pyruvic Acid Methyl Ester	1.922	1.623	1.725	1.9	1.494	2.72	2.107	2.46	2.417	2.39283
Tween 40	3.039	2.367	2.672	3.314	2.779	2.228	2.231	3.194	2.954	2.92446
Tween 80	2.284	2.165	1.671	2.315	1.759	2.085	1.696	3.344	2.668	2.64132
a-Cyclodextrin	1.152	1.338	1.335	0.862	1.017	1.665	1.095	1.499	1.216	1.20384
Glycogen	2.083	2.761	2.768	2.086	3.016	2.516	2.424	2.599	2.636	2.60964
D-Cellobiose	3.276	2.761	2.35	2.568	2.503	2.426	3.163	3.124	2.792	2.76408
a-D-Lactose	0.938	2.433	1.525	2.561	1.103	1.499	1.962	1.767	1.072	1.06128
ß-Methyl-D-Glucoside	2.673	2.874	2.664	2.991	1.835	2.603	2.708	3.063	2.669	2.64231
D-Xylose	1.985	1.225	1.276	1.777	2.005	2.628	1.803	2.06	1.73	1.7127
i-Erythritol	2.463	1.741	1.112	1.711	1.018	0.811	0.421	1.524	1.107	1.09593
D-Mannitol	3.402	2.546	2.687	2.287	2.602	2.344	2.231	2.618	3.36	3.3264
N-Accetyl-D-Glucosamine	2.738	2.869	2.634	2.201	2.242	2.414	2.096	3.037	2.885	2.85615
D-Glucosaminic Acid	3.143	2.026	1.498	0.963	1.869	1.89	1.884	2.055	1.569	1.55331
Glucose-1-Phosphate	1.836	1.65	1.517	0.436	1.45	1.513	1.794	1.599	1.377	1.36323
D,L-a-Glycerol Phosphate	1.402	0.837	0.88	1.675	1.155	1.438	0.958	1.021	1.298	1.28502
D-Galactonic Acid y-Lactone	2.36	2.098	2.215	1.861	2.03	1.841	1.459	2.491	1.824	1.80576
D-Galacturonic Acid	2.89	2.407	2.356	2.751	1.962	2.032	1.937	3.41	2.424	2.39976
2-Hydroxy Benzoid Acid	0.301	0.324	0.399	0.785	0.438	1.559	0.457	0.673	2.295	2.27205
4-Hydroxy Benzoid Acid	2.617	2.467	2.035	2.904	2.331	2.153	2.386	3.208	3.002	2.97198
