Carbon	P2	P8	P7	P5	P9	P1	P3	P6	P4	P10
Pyruvic Acid Methyl Ester	1.48666	1.517	1.095666667	1.365	1.473333333	0.996	1.744333333	1.956	1.721666667	1.70445
Tween 40	1.963266667	2.003333333	1.964	2.413	2.198	0.778666667	1.922333333	2.793333333	2.159333333	2.13774
Tween 80	1.9551	1.995	1.224666667	1.692666667	1.674	1.050666667	1.542333333	2.752	1.841	1.82259
a-Cyclodextrin	0.701026667	0.715333333	0.303	0.289	0.613666667	0.465	0.670666667	0.854	0.711666667	0.70455
Glycogen	2.65286	2.707	0.925	1.166666667	2.616	1.189	2.144	2.030333333	2.426666667	2.4024
D-Cellobiose	2.27164	2.318	1.635333333	2.191	2.377	1.376	2.822666667	2.821	1.723	1.70577
a-D-Lactose	1.870166667	1.908333333	1.162333333	1.217333333	0.961333333	0.538	1.916666667	0.691	0.901	0.89199
ß-Methyl-D-Glucoside	2.569233333	2.621666667	1.616	2.416	1.646666667	1.486666667	2.216333333	2.467666667	1.816	1.79784
D-Xylose	0.787593333	0.803666667	0.765	1.388	1.339666667	1.145666667	1.409333333	1.029666667	1.471333333	1.45662
i-Erythritol	1.326266667	1.353333333	0.43	0.475333333	0.688666667	0.306	0.216333333	1.164333333	0.574333333	0.56859
D-Mannitol	2.196506667	2.241333333	1.773	1.984	2.148666667	1.338333333	2.231666667	2.246666667	2.781	2.75319
N-Accetyl-D-Glucosamine	2.448366667	2.498333333	1.981333333	2.003666667	1.793	1.228666667	2.076666667	2.488	2.046	2.02554
D-Glucosaminic Acid	1.60426	1.637	0.745666667	0.715666667	1.129333333	0.68	1.389666667	1.566333333	0.949666667	0.94017
Glucose-1-Phosphate	1.19168	1.216	0.66	0.389	0.954666667	0.361333333	1.304666667	0.986333333	0.803	0.79497
D,L-a-Glycerol Phosphate	0.61152	0.624	0.322	0.64	0.534666667	0.193333333	0.395666667	0.539333333	0.622333333	0.61611
D-Galactonic Acid y-Lactone	1.91002	1.949	1.187	1.674666667	1.454333333	1.068	1.289666667	1.976333333	1.208666667	1.19658
D-Galacturonic Acid	2.276866667	2.323333333	1.466	2.189666667	1.588	0.848	1.545333333	2.747	1.638666667	1.62228
2-Hydroxy Benzoid Acid	0.016986667	0.017333333	0.318	0.711333333	0.038333333	0.952333333	0.097666667	0.030666667	1.118666667	1.10748
4-Hydroxy Benzoid Acid	1.986133333	2.026666667	1.483	2.011333333	2.117	1.230666667	2.067333333	2.635	2.438666667	2.41428
y-Amino Butyric Acid	2.521866667	2.573333333	1.734	1.746666667	2.257666667	1.556666667	2.487666667	2.903666667	2.77	2.7423
Itaconic Acid	1.611446667	1.644333333	1.057333333	0.463666667	1.463333333	1.028	1.304	0.512666667	1.519666667	1.50447
a-Keto Butyric Acid	0.137853333	0.140666667	0.117666667	0.165	0.167666667	0.39	0.056	0.122333333	0.085333333	0.08448
D-Malic Acid	2.333053333	2.380666667	2.244	2.191666667	1.808333333	1.224666667	2.273	2.766333333	2.565333333	2.53968
L-Arginine	1.847953333	1.885666667	2.313666667	2.704333333	1.949666667	2.059666667	3.226	2.857666667	2.955333333	2.92578
L-Asparagine	2.92432	2.984	2.047333333	2.550333333	2.572	1.845	2.812333333	2.932333333	2.605	2.57895
L-Phenylalanine	0.44786	0.457	0.388666667	0.060666667	0.62	0.277666667	0.302333333	0.316666667	0.499666667	0.49467
L-Serine	2.1413	2.185	1.527333333	2.015	2.040333333	1.286333333	2.444	2.048666667	2.026333333	2.00607
L-Threonine	0.068273333	0.069666667	0.255	0.104	0.010666667	0.449333333	0.131	0.255	0.046666667	0.0462
Glycyl-L-Glutamic Acid	0.19502	0.199	0.024333333	0.108666667	0.430666667	0.308666667	0.272666667	0.321	0.144	0.14256
Phenethylamine	2.269353333	2.315666667	0.963666667	1.35	1.364333333	1.970666667	2.255	2.03	2.345666667	2.32221
Putrescine	1.93256	1.972	2.017666667	1.757	1.924666667	1.619	2.215666667	2.947	1.977333333	1.95756
