function	P10F2	P10F3	P10F4	P1F1	P1F2	P1F3	P1F4	P1F5	P2F3	P3F1	P3F2	P3F3	P3F4	P3F5	P4F1	P4F2	P4F3	P4F4	P4F5	P5F1	P5F2	P5F3	P5F4	P5F5	P6F1	P6F2	P6F3	P6F4	P7F1	P7F2	P7F3	P7F4	P7F5	P8F1	P8F2	P8F3	P8F4	P9F1	P9F2	P9F3	P9F4	P9F5
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	12319.0	10.0	8023.0	14845.0	9898.0	14481.0	12409.0	18677.0	14287.0	6512.0	2083.0	8095.0	8029.0	14056.0	14.0	18371.0	14108.0	9126.0	13876.0	9158.0	14500.0	13194.0	12169.0	8501.0	4093.0	17954.0	7440.0	12442.0	6543.0	10159.0	11190.0	5735.0	6294.0	14783.0	14774.0	11335.0	8086.0	7171.0	10136.0	8183.0	12897.0	5995.0
1.1.1.136-RXN	1431.0	2.0	950.0	1234.0	798.0	825.0	1062.0	1523.0	2027.0	729.0	34.0	679.0	831.0	839.0	0.0	2026.0	1617.0	1343.0	1206.0	737.0	1095.0	876.0	1252.0	844.0	583.0	1491.0	1022.0	1125.0	900.0	1212.0	1301.0	589.0	779.0	1470.0	1436.0	1369.0	1111.0	525.0	904.0	639.0	1265.0	463.0
1.1.1.145-RXN	30.0	0.0	28.0	40.0	30.0	17.0	26.0	93.0	5.0	48.0	7.0	24.0	2.0	46.0	0.0	31.0	40.0	11.0	16.0	6.0	6.0	9.0	73.0	38.0	6.0	30.0	4.0	7.0	17.0	18.0	16.0	5.0	36.0	20.0	19.0	35.0	5.0	47.0	46.0	33.0	28.0	11.0
1.1.1.170-RXN	2.0	0.0	5.0	14.0	2.0	3.0	0.0	5.0	2.0	0.0	0.0	0.0	2.0	6.0	0.0	5.0	2.0	9.0	8.0	0.0	0.0	0.0	2.0	2.0	0.0	3.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	23.0	11.0	9.0	5.0	0.0	0.0	0.0	3.0	0.0
1.1.1.215-RXN	633.0	2.0	407.0	979.0	501.0	578.0	783.0	1240.0	475.0	585.0	143.0	785.0	327.0	744.0	0.0	1929.0	990.0	289.0	2133.0	503.0	805.0	817.0	767.0	415.0	152.0	2879.0	252.0	1073.0	349.0	576.0	662.0	392.0	363.0	559.0	1160.0	609.0	187.0	667.0	988.0	834.0	721.0	345.0
1.1.1.251-RXN	30.0	0.0	26.0	12.0	7.0	6.0	13.0	20.0	5.0	0.0	6.0	14.0	0.0	7.0	0.0	249.0	121.0	5.0	231.0	6.0	24.0	23.0	10.0	9.0	4.0	235.0	10.0	7.0	3.0	0.0	4.0	9.0	8.0	51.0	98.0	4.0	6.0	20.0	40.0	18.0	8.0	6.0
1.1.1.252-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
1.1.1.253-RXN	1647.0	0.0	1091.0	1285.0	890.0	944.0	1231.0	1628.0	2401.0	781.0	22.0	697.0	901.0	914.0	0.0	2166.0	1847.0	1563.0	1376.0	945.0	1750.0	1427.0	1343.0	952.0	751.0	1610.0	943.0	1448.0	1088.0	1333.0	1572.0	789.0	807.0	1613.0	1644.0	1531.0	1328.0	516.0	958.0	629.0	1347.0	555.0
1.1.1.261-RXN	215.0	0.0	121.0	152.0	149.0	175.0	198.0	277.0	234.0	66.0	12.0	91.0	177.0	140.0	0.0	277.0	220.0	158.0	239.0	85.0	80.0	116.0	112.0	112.0	73.0	199.0	246.0	108.0	100.0	108.0	214.0	93.0	57.0	144.0	198.0	239.0	120.0	90.0	207.0	88.0	228.0	104.0
1.1.1.264-RXN	450.0	0.0	382.0	847.0	325.0	374.0	449.0	658.0	582.0	422.0	33.0	354.0	201.0	357.0	0.0	850.0	558.0	289.0	582.0	391.0	493.0	398.0	587.0	300.0	142.0	677.0	212.0	690.0	270.0	484.0	401.0	268.0	255.0	635.0	481.0	442.0	273.0	359.0	307.0	292.0	478.0	210.0
