function	P10F2	P10F3	P10F4	P1F1	P1F2	P1F3	P1F4	P1F5	P2F3	P3F1	P3F2	P3F3	P3F4	P3F5	P4F1	P4F2	P4F3	P4F4	P4F5	P5F1	P5F2	P5F3	P5F4	P5F5	P6F1	P6F2	P6F3	P6F4	P7F1	P7F2	P7F3	P7F4	P7F5	P8F1	P8F2	P8F3	P8F4	P9F1	P9F2	P9F3	P9F4	P9F5
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	10630.770000000002	10.0	7176.130000000001	13383.919999999998	8872.800000000001	13360.010000000002	11065.000000000002	16864.550000000007	12502.96	5748.92	1979.0600000000006	7169.920000000003	7170.5700000000015	12904.680000000006	14.0	15901.81	12505.01	8041.090000000001	12130.910000000005	8149.050000000001	12782.93	11933.240000000002	10634.79	7381.55	3597.86	15669.480000000005	6530.370000000001	11204.48	5876.18	9149.920000000002	9750.72	5040.219999999998	5352.310000000001	13270.97	13114.710000000005	10043.3	7154.290000000001	6376.780000000002	8933.400000000001	7309.589999999998	11474.41	5340.260000000001
1.1.1.136-RXN	1047.8399999999997	2.0	737.3699999999999	1067.71	682.57	729.4100000000003	903.5599999999997	1242.81	1686.6900000000005	606.1999999999998	27.42	569.0899999999998	681.1700000000002	719.8400000000001	0.0	1577.2800000000002	1263.87	1157.4700000000005	903.2499999999997	609.5999999999998	885.9399999999998	729.21	1057.0199999999998	665.7100000000003	503.34999999999985	1197.86	872.3999999999997	996.09	792.45	994.4899999999997	1044.41	487.54000000000013	607.3799999999999	1131.3599999999994	1097.9199999999996	1019.3199999999997	945.4799999999997	425.73	739.12	540.5699999999998	1086.35	398.7
1.1.1.145-RXN	29.0	0.0	27.0	40.0	30.0	15.5	26.0	92.5	5.0	48.0	7.0	24.0	2.0	46.0	0.0	31.0	39.5	11.0	16.0	6.0	6.0	7.0	73.0	37.0	6.0	30.0	4.0	7.0	16.0	18.0	16.0	5.0	36.0	20.0	19.0	35.0	5.0	47.0	46.0	33.0	26.5	11.0
1.1.1.170-RXN	2.0	0.0	5.0	14.0	2.0	3.0	0.0	5.0	2.0	0.0	0.0	0.0	2.0	6.0	0.0	5.0	2.0	9.0	8.0	0.0	0.0	0.0	2.0	2.0	0.0	3.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	23.0	11.0	9.0	5.0	0.0	0.0	0.0	3.0	0.0
1.1.1.215-RXN	582.1	2.0	378.75	844.35	422.07000000000016	488.19	671.61	1013.87	436.73	521.15	102.36	615.22	298.25	613.64	0.0	1642.59	879.21	273.25	1856.63	390.24	612.9399999999998	624.03	660.77	344.82	140.5	2480.28	205.88	687.16	313.48	495.34	568.57	333.41	308.8300000000001	533.95	1100.9699999999998	577.6700000000002	169.8	539.99	771.52	659.33	626.75	284.13
1.1.1.251-RXN	30.0	0.0	26.0	12.0	7.0	6.0	9.4	12.8	1.4	0.0	2.4	10.4	0.0	7.0	0.0	249.0	121.0	5.0	231.0	6.0	20.4	23.0	2.8	1.8	4.0	235.0	2.8	7.0	3.0	0.0	4.0	9.0	8.0	51.0	92.6	4.0	0.6	14.6	29.2	14.4	8.0	6.0
1.1.1.252-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
1.1.1.253-RXN	1243.9399999999996	0.0	876.2999999999997	1112.42	733.7700000000002	808.94	1031.88	1344.7799999999995	2045.6400000000006	656.3399999999998	18.0	580.53	743.21	787.95	0.0	1701.7800000000002	1497.17	1358.22	1052.73	776.02	1482.5299999999993	1227.5299999999995	1125.69	764.3500000000001	656.51	1272.2200000000005	794.71	1008.02	943.03	1092.3599999999997	1281.7999999999995	655.7700000000002	631.21	1276.5299999999993	1244.0099999999995	1176.6599999999996	1158.8	415.37	772.43	514.2800000000002	1123.1	480.52
1.1.1.261-RXN	94.67	0.0	58.67	83.45	93.51	104.18	114.19	173.98000000000005	142.91000000000003	49.27	5.92	53.06	117.56	88.64	0.0	113.17	96.27	101.86	91.86	51.68000000000001	60.33	76.67	71.33	63.01000000000001	48.18	92.73	175.87	56.91	64.68	68.61999999999999	122.86	53.01000000000001	33.68000000000001	69.68	100.68	93.48	76.52000000000002	50.95	115.71	51.84000000000001	136.83	56.69000000000001
1.1.1.264-RXN	414.5	0.0	354.0	781.5	307.0	349.5	424.5	615.5	528.0	403.5	30.0	335.0	189.0	334.0	0.0	790.0	527.0	263.5	549.5	368.5	470.0	384.0	552.0	276.5	130.0	633.0	193.0	663.5	254.5	467.5	383.5	258.0	235.0	591.5	450.0	409.5	246.5	338.5	288.5	280.0	450.5	202.0
1.1.1.271-RXN	3246.17	2.0	2179.21	6762.62	4536.52	8555.66	4748.200000000002	8567.990000000002	4752.3	1809.6900000000005	1597.59	3266.550000000001	3751.17	7650.130000000001	3.0	4749.3499999999985	3806.68	2934.4000000000005	3418.34	2245.2000000000007	3673.1900000000014	3589.01	3679.54	2745.21	1375.34	4007.46	2625.2	3684.37	1871.21	2722.68	3574.530000000001	1813.1	1892.36	4981.370000000001	3579.750000000002	3089.6699999999987	2752.31	2747.32	3571.91	2763.0199999999995	5123.34	2715.82
1.1.1.289-RXN	4.0	0.0	3.0	16.5	2.5	9.75	10.75	20.25	0.75	15.25	1.0	5.75	2.5	9.25	0.0	6.75	6.25	0.0	5.75	12.0	11.25	5.0	21.25	10.25	0.0	16.25	4.0	9.0	1.5	14.5	7.25	2.5	9.5	4.5	10.5	1.25	1.75	5.0	3.0	1.0	7.75	5.0
1.1.1.291-RXN	0.0	0.0	3.67	1.67	0.0	0.67	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	0.0
1.1.1.292-RXN	53.0	0.0	23.0	24.0	18.0	42.0	21.0	36.5	22.0	24.0	0.0	21.5	14.5	17.5	0.0	70.5	33.0	7.0	61.0	47.5	76.0	69.0	55.0	34.5	3.0	87.0	18.0	127.67	20.0	25.5	19.0	9.0	20.0	80.5	53.5	36.0	10.0	20.0	21.0	18.0	24.0	8.0
1.1.1.34-RXN	54.67	0.0	42.0	60.0	65.5	69.17	96.5	104.5	43.5	25.67	2.5	41.0	49.17	54.67	0.0	31.840000000000003	94.33	38.0	30.5	46.67	116.33	83.67	47.5	31.5	15.0	53.17	70.0	30.5	48.0	62.5	79.01	49.67	30.0	60.5	71.17	12.5	19.0	36.5	61.17	41.83	89.5	35.67
1.1.1.39-RXN	1253.26	4.0	950.4399999999997	4561.58	2954.4400000000005	6825.49	2569.4700000000007	6341.93	1436.3300000000006	820.41	1434.3700000000006	1802.4800000000007	2219.2200000000007	5905.55	0.0	1951.61	1834.04	899.1700000000002	1173.9500000000005	959.98	1161.1400000000006	1201.41	1576.3699999999994	1311.13	414.5	1484.7000000000005	885.4199999999997	707.41	699.6400000000001	1019.9099999999997	1430.65	695.3499999999998	820.8599999999997	2917.51	1639.09	1130.49	930.98	1662.7400000000007	1846.0	1366.0300000000004	2579.0	1632.2300000000002
1.1.1.43-RXN	59.6	0.0	25.0	7.25	10.9	18.25	11.5	11.1	28.28	8.9	0.4	14.0	28.25	18.65	0.0	246.63	73.55	44.0	356.5	40.9	90.4	121.9	11.5	8.0	10.0	571.87	18.5	15.5	10.5	9.75	18.2	7.0	1.0	23.45	34.5	158.0	19.0	8.65	29.75	22.4	22.25	9.75
1.1.1.51-RXN	228.5	0.0	120.75	155.75	61.17	77.0	91.08	167.25	128.82999999999998	46.0	10.0	109.0	151.5	141.0	0.0	407.58	199.5	82.67	527.0	63.5	193.75	115.67	66.5	47.25	23.0	783.67	75.0	97.0	50.0	45.25	63.0	48.5	51.0	165.75	211.0	294.0	73.5	82.25	149.5	113.25	164.67	54.17
1.1.1.53-RXN	292.83	0.0	255.34	306.67	210.0	172.5	271.0	586.66	152.41	374.5	33.66	205.66	90.32	312.32	0.0	409.01	450.82	105.33	256.16	235.66	373.16	281.34000000000003	511.16	311.8300000000001	39.0	395.49	84.0	551.1600000000002	154.0	257.65000000000003	205.66	126.0	240.0	358.5	411.16	234.84	82.75	303.48	372.84	291.65	221.49	86.0
1.1.1.8-RXN	16.0	0.0	12.0	5.0	0.0	8.0	12.0	2.0	7.0	2.0	0.0	2.0	5.0	2.0	0.0	14.0	3.0	21.0	2.0	3.0	10.0	0.0	10.0	0.0	9.0	4.0	3.0	7.0	0.0	5.0	2.0	2.0	0.0	16.0	14.0	7.0	7.0	0.0	2.0	2.0	12.0	6.0
1.1.1.83-RXN	1518.88	2.0	1015.37	1698.9	871.16	1029.12	1440.9	1916.38	1468.0300000000002	960.47	150.82	1133.21	780.58	1324.5299999999995	4.0	3605.99	1909.28	957.8499999999997	3198.38	1087.9899999999998	2020.4600000000007	1739.2300000000002	1852.23	998.24	391.5	4342.240000000002	679.07	1421.16	782.9000000000002	1257.4199999999996	1316.15	841.51	790.0	1610.9800000000002	1854.8400000000006	1581.2	729.6600000000002	1023.78	1398.04	1247.26	1473.2600000000002	620.44
1.1.3.41-RXN	231.5	0.0	206.5	387.67	134.0	173.32999999999996	144.32999999999996	393.0	111.0	274.67	12.2	203.27	59.0	236.67	0.0	437.0	404.51	90.0	308.8400000000001	172.0	279.83	303.5	386.0	212.0	21.0	421.0	120.67	297.25	394.67	600.0	199.17	92.5	211.0	352.17	427.0	193.83	35.0	191.67	317.1	261.83	195.34	77.0
1.1.99.25-RXN	147.1	0.0	122.0	84.5	57.24	52.6	76.16	117.95	32.78	36.15	18.4	84.85	64.5	66.80000000000001	0.0	521.89	294.9	51.59	591.51	196.9	292.75	333.09	82.75	47.75	19.0	747.22	34.15	336.0	42.55	166.0	63.95	49.0	39.0	165.2	480.75	121.5	3.0	89.5	138.75	93.4	69.34	32.34
1.1.99.28-RXN	140.33000000000004	0.0	99.7	119.84	62.0	82.67	80.52000000000002	100.01	99.6	67.17	6.0	90.17	40.67	57.84	0.0	129.18	152.51	47.52	112.34	75.34	136.67000000000002	107.34	96.18	84.84	25.67	74.85000000000002	53.68000000000001	87.02	32.18	105.68	65.01	46.35000000000001	49.34	151.17	228.53999999999996	125.35	42.93	48.01000000000001	100.34	76.34	76.36000000000001	39.17
1.10.2.2-RXN	2712.61	2.0	1770.0	2430.08	1661.4900000000002	1778.4400000000005	2402.0	2994.25	3006.95	1415.3200000000004	186.23	1606.09	1424.3399999999995	1979.31	4.0	4314.37	2846.1600000000008	1930.5	3325.59	2129.07	3650.0	3193.89	2810.1900000000005	1803.26	897.83	4255.94	1341.9899999999998	3074.83	1480.3200000000004	2418.0	2777.19	1529.2999999999995	1340.5	2893.05	3159.59	2389.59	1732.16	1391.5699999999995	2008.38	1700.2999999999995	2438.88	1080.27
